KODE WILAYAH;PERUSAHAAN;SEKTOR;JML TK;ALAMAT;MAPS;DISABILITAS;JUMLAH BPJS KETENAGAKERJAAN;JUMLAH BPJS KESEHATAN;PP/PKB;LKS BIPARTIT
35.18.13;RS Aisyiah;Jasa Pelayanan Kesehatan;229;Jl. Imam Bonjol No.20, Payaman, Kec. Nganjuk, Kabupaten Nganjuk;https://www.google.com/maps/place/Rumah+Sakit+Islam+Aisyiyah/@-7.6108676,111.9032514,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784ba095242f31:0x7512299f881344c3!8m2!3d-7.6108729!4d111.9058263!16s%2Fg%2F11c1wk2bb5?entry=ttu ;0;129;0;;
35.18.14;PT. Berlian Jaya Perkasa;Jasa Properti;47;CV7H+XWX, Guyangan, Kec. Bagor, Kabupaten Nganjuk, Jawa Timur 64461;https://www.google.com/maps/place/PT+Berlian+Jaya+Perkasa+Nganjuk/@-7.2928843,110.5065502,9z/data=!4m10!1m2!2m1!1sPT.+Berlian+Jaya+Perkasa!3m6!1s0x2e784bba87f68e61:0x4ead31d4744716a7!8m2!3d-7.5850196!4d111.8798689!15sChhQVC4gQmVybGlhbiBKYXlhIFBlcmthc2GSARBjb3Jwb3JhdGVfb2ZmaWNl4AEA!16s%2Fg%2F11fmdwmt9q?entry=ttu ;0;0;0;;
35.18.19;PT. Multi Farmindo Jaya, Lengkong;Pembibitan dan Budidaya Itik/Bebek;144;Bajulan, Prayungan, Kec. Lengkong, Kabupaten Nganjuk;https://www.google.com/maps/place/PT.+Multi+Farmindo+Jaya/@-7.4995321,112.0901189,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7839b3d82fbdb1:0x102970694647e0b9!8m2!3d-7.4995374!4d112.0926938!16s%2Fg%2F11j8pbflrp?entry=ttu ;0;138;2;;
35.18.20;PT. Wonokoyo Jaya Corporindo Hatchery Nganjuk;Industri Peternakan Ayam;58;Gampeng, Lumpang Kuwik, Kec. Jatikalen, Kabupaten Nganjuk;https://www.google.com/maps/place/PT+Wonokoyo+Hatchery+Nganjuk/@-7.5012647,112.1323315,17z/data=!3m1!4b1!4m6!3m5!1s0x2e783929d711217d:0x863e9a1e59652726!8m2!3d-7.50127!4d112.1349064!16s%2Fg%2F11c2y42jp9?entry=ttu ;0;0;0;;
35.18.08;Sabda Alam, Kertosono;Jasa Outsourcing;354;Jl. Raya Surabaya - Madiun KM.99 Dsn. Klinter, Pelem, Kertosono;https://www.google.com/maps/place/PT.+Sabda+Alam/@-7.6040953,112.0820957,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78465d3f43ab71:0xc589529229571acb!8m2!3d-7.6041006!4d112.0846706!16s%2Fg%2F11c2k2j2gb?entry=ttu ;0;0;0;;
35.18.10;PT. Arja Kayu Lapis;Industri KayuLapis;98;Jl. Raya Surabaya - Madiun Jl. Raya Plimping, Gebangkerep, Baron, Nganjuk;https://www.google.com/maps/place/PT.+ARJA+KAYULAPIS+INDONESIA/@-7.6074989,112.0687705,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78474c2a51d8b3:0xdbcff7a0e0ec2294!8m2!3d-7.6075042!4d112.0713454!16s%2Fg%2F11p16dlhz8?entry=ttu ;0;43;0;;
35.18.19;PT. Sinar Jaya Prima Perkasa;Industri Karung;100;Jl. Lengkong - Jatikalen, Jegreg, Kec. Lengkong, Kabupaten Nganjuk;https://www.google.com/maps/place/Sinar+Jaya+Prima+Perkasa,+PT/@-7.5312242,112.0811164,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78386586b63849:0xed8a03f5fed6b8b7!8m2!3d-7.5312295!4d112.0836913!16s%2Fg%2F11f3p1qx2t?entry=ttu ;0;0;0;;
35.18.05;PR. Putra Masa Depan;Industri rokok;300;Jl. Warujayeng - Nganjuk, Jegles, Plosoharjo, Kec. Pace, Kabupaten Nganjuk, Jawa Timur;https://www.google.com/maps/place/Pt+putra+masa+depan/@-7.6566679,111.9510829,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784f0071ca64f7:0x9fdabcdb18d56dc7!8m2!3d-7.6566732!4d111.9536578!16s%2Fg%2F11y36wpqbn?entry=ttu ;0;8;0;;
35.18.06;CV. Risqi Lumintu Plywood;Industri Kayu;70;Dsn. Ngetrep RT.06 RW.02 Ds.Kurungrejo Kec.Prambon Kab.Nganjuk;-;0;0;0;;
35.18.13;Berkat Anugerahnya;Jasa Pengiriman Barang;53;Nganjuk;-;0;53;0;;
35.18.13;PT. Karya Bintang Mandiri;Jasa Outsourcing;277;Nganjuk;-;0;277;0;;
35.18.13;PT. Tsamaniya Amanah Mandiri;Retail;55;JL.PANGLIMA SUDIRMAN NO.142 Kabupaten Nganjuk;https://www.google.com/maps/place/Tsamaniya+Minimarket+Kertosono/@-7.6026428,111.918732,12z/data=!4m10!1m2!2m1!1sPT.+Tsamaniya+Amanah+Mandiri+nganjuk!3m6!1s0x2e78465f016c9e43:0x33877c6c6bc1e29e!8m2!3d-7.6007809!4d112.1015793!15sCiRQVC4gVHNhbWFuaXlhIEFtYW5haCBNYW5kaXJpIG5nYW5qdWsiA4gBAZIBEWNvbnZlbmllbmNlX3N0b3Jl4AEA!16s%2Fg%2F1pzvrmlk3?entry=ttu ;0;55;0;;
35.18.19;Trijaya Lestari Food;Pemborongan Ayam;114;Prayungan, Kec. Lengkong, Kabupaten Nganjuk;https://www.google.com/maps/place/RPA+Lengkong+PT+Trijaya+Lestari+Food,+Bintang+Lima/@-7.5244098,112.0911039,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7838606c784501:0x61286960f40ec3ad!8m2!3d-7.5244151!4d112.0936788!16s%2Fg%2F11f3vljsw9?entry=ttu ;0;99;0;;
35.18.03;Rimba Damai Sejahtera-Borongan;Industri Rokok;73;9VH3+XV4, Bulu, Kec. Berbek, Kabupaten Nganjuk, Jawa Timur;https://www.google.com/maps/place/PT.+RIMBA+DAMAI+SEJAHTERA/@-7.6201174,74.9406533,4z/data=!4m10!1m2!2m1!1sRimba+Damai+Sejahtera!3m6!1s0x2e79b5c55d6d8887:0xb306b9b724ef8a1e!8m2!3d-7.6201174!4d111.8547158!15sChVSaW1iYSBEYW1haSBTZWphaHRlcmGSAQxtYW51ZmFjdHVyZXLgAQA!16s%2Fg%2F11k9cb0hfb?entry=ttu ;0;73;0;;
35.18.17;PT. Mitra Mulia Makmur;Industri Tupperware;250;Jl. Gondang-Lengkong, Sempayang, Jaan, Kec. Gondang, Kab. Nganjuk;https://www.google.com/maps/place/PT.+Mitramulia+Makmur+Nganjuk/@-7.5364991,112.0263457,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7837484304c397:0x7c824ad8f52d2de8!8m2!3d-7.5365044!4d112.0289206!16s%2Fg%2F11jnmz60j7?entry=ttu ;0;0;0;;
